"","School_Year","Race_Ethnicity","Students","Total_students","Percent_of_all_students"
"1","2021-22","American Indian/Alaskan Native",13694,1091355,0.013
"2","2021-22","Asian",92566,1091355,0.085
"3","2021-22","Black/African American",50718,1091355,0.046
"4","2021-22","Hispanic/ Latino of any race(s)",274965,1091355,0.252
"5","2021-22","Native Hawaiian/ Other Pacific Islander",14307,1091355,0.013
"6","2021-22","Two or More Races",100480,1091355,0.092
"7","2021-22","White",544625,1091355,0.499
"8","2020-21","American Indian/Alaskan Native",14213,1088758,0.013
"9","2020-21","Asian",91357,1088758,0.084
"10","2020-21","Black/African American",49898,1088758,0.046
"11","2020-21","Hispanic/ Latino of any race(s)",268486,1088758,0.247
"12","2020-21","Native Hawaiian/ Other Pacific Islander",13427,1088758,0.012
"13","2020-21","Two or More Races",99041,1088758,0.091
"14","2020-21","White",552336,1088758,0.507
"15","2019-20","American Indian/Alaskan Native",14364,1140997,0.013
"16","2019-20","Asian",91180,1140997,0.08
"17","2019-20","Black/African American",50129,1140997,0.044
"18","2019-20","Hispanic/ Latino of any race(s)",272755,1140997,0.239
"19","2019-20","Native Hawaiian/ Other Pacific Islander",13148,1140997,0.012
"20","2019-20","Two or More Races",102526,1140997,0.09
"21","2019-20","White",596895,1140997,0.523
"22","2018-19","American Indian/Alaskan Native",14566,1133507,0.013
"23","2018-19","Asian",88747,1133507,0.078
"24","2018-19","Black/African American",49809,1133507,0.044
"25","2018-19","Hispanic/ Latino of any race(s)",265738,1133507,0.234
"26","2018-19","Native Hawaiian/ Other Pacific Islander",12544,1133507,0.011
"27","2018-19","Two or More Races",100058,1133507,0.088
"28","2018-19","White",602045,1133507,0.531
"29","2017-18","American Indian/Alaskan Native",14803,1126191,0.013
"30","2017-18","Asian",86353,1126191,0.077
"31","2017-18","Black/African American",48880,1126191,0.043
"32","2017-18","Hispanic/ Latino of any race(s)",260706,1126191,0.231
"33","2017-18","Native Hawaiian/ Other Pacific Islander",12099,1126191,0.011
"34","2017-18","Two or More Races",95768,1126191,0.085
"35","2017-18","White",607582,1126191,0.54
"36","2016-17","American Indian/Alaskan Native",15075,1113069,0.014
"37","2016-17","Asian",83245,1113069,0.075
"38","2016-17","Black/African American",48316,1113069,0.043
"39","2016-17","Hispanic/ Latino of any race(s)",254027,1113069,0.228
"40","2016-17","Native Hawaiian/ Other Pacific Islander",11698,1113069,0.011
"41","2016-17","Two or More Races",91354,1113069,0.082
"42","2016-17","White",609354,1113069,0.547
"43","2015-16","American Indian/Alaskan Native",15300,1096921,0.014
"44","2015-16","Asian",79946,1096921,0.073
"45","2015-16","Black/African American",48068,1096921,0.044
"46","2015-16","Hispanic/ Latino of any race(s)",245864,1096921,0.224
"47","2015-16","Native Hawaiian/ Other Pacific Islander",11108,1096921,0.01
"48","2015-16","Two or More Races",86384,1096921,0.079
"49","2015-16","White",610251,1096921,0.556
"50","2014-15","American Indian/Alaskan Native",15804,1082279,0.015
"51","2014-15","Asian",77671,1082279,0.072
"52","2014-15","Black/African American",48357,1082279,0.045
"53","2014-15","Hispanic/ Latino of any race(s)",235148,1082279,0.217
"54","2014-15","Native Hawaiian/ Other Pacific Islander",10622,1082279,0.01
"55","2014-15","Two or More Races",81873,1082279,0.076
"56","2014-15","White",612804,1082279,0.566
